model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,42,4.0,21,0.031301005484933475,0.9735449735449735,0.00018730348307472816
TemporalResNet18Small,42,4.0,22,0.039891091596526915,0.9682539682539683,0.00017810719718785867
TemporalResNet18Small,42,6.0,1,0.8479148622821359,0.24867724867724866,0.0002997040092642407
TemporalResNet18Small,42,6.0,2,0.24372674941140063,0.8544973544973545,0.0002988172051971717
TemporalResNet18Small,42,6.0,3,0.18296283089062748,0.9365079365079365,0.0002973430876093033
TemporalResNet18Small,42,6.0,4,0.13207010837162242,0.9365079365079365,0.00029528747416929463
TemporalResNet18Small,42,6.0,5,0.09779608386623509,0.9523809523809523,0.00029265847744427303
TemporalResNet18Small,42,6.0,6,0.08917265051208875,0.9682539682539683,0.0002894664728832377
TemporalResNet18Small,42,6.0,7,0.06263452565626186,0.9735449735449735,0.000285724057869903
TemporalResNet18Small,42,6.0,8,0.06200669625061838,0.9470899470899471,0.00028144600200657956
TemporalResNet18Small,42,6.0,9,0.06983527634292841,0.9603174603174603,0.0002766491888253023
TemporalResNet18Small,42,6.0,10,0.05104790478328462,0.9708994708994709,0.00027135254915624217
TemporalResNet18Small,42,6.0,11,0.042392997927141976,0.9708994708994709,0.0002655769864163684
TemporalResNet18Small,42,6.0,12,0.07175179462715545,0.9603174603174603,0.0002593452941132117
TemporalResNet18Small,42,6.0,13,0.0545026409878012,0.9682539682539683,0.0002526820658893033
TemporalResNet18Small,42,6.0,14,0.037380987093509996,0.9761904761904762,0.0002456135984623034
TemporalResNet18Small,42,6.0,15,0.038521637907251716,0.9708994708994709,0.00023816778784387096
TemporalResNet18Small,42,6.0,16,0.032794670604155675,0.9708994708994709,0.00023037401924684944
TemporalResNet18Small,42,6.0,17,0.035531674196724504,0.9735449735449735,0.00022226305111525726
TemporalResNet18Small,42,6.0,18,0.03474746399339946,0.9708994708994709,0.00021386689373476087
TemporalResNet18Small,42,6.0,19,0.03999067278517246,0.9708994708994709,0.00020521868290270169
TemporalResNet18Small,42,6.0,20,0.03861687033307081,0.9788359788359788,0.00019635254915624208
TemporalResNet18Small,42,6.0,21,0.039982758431613225,0.9761904761904762,0.00018730348307472816
TemporalResNet18Small,42,6.0,22,0.03413606526480768,0.9761904761904762,0.00017810719718785867
TemporalResNet18Small,42,6.0,23,0.03496389963872977,0.9708994708994709,0.00016879998503464564
TemporalResNet18Small,42,6.0,24,0.031689325140391966,0.9708994708994709,0.000159418577929397
TemporalResNet18Small,42,6.0,25,0.03479506828914643,0.9735449735449735,0.00015
