model,accuracy,ece,brier,mean_confidence,n_predictions
FlyVis linear probe,0.9236111111111112,0.08689243251020021,0.1696874687280607,0.9467941749778469,2880
STN-CNN,0.5972222222222222,0.12085015840000578,0.5199034721922514,0.6971028161131674,2880
