model,seed,heldout_scale,accuracy,balanced_accuracy,macro_f1,ece,brier,mean_confidence,n_train,n_test,best_val_accuracy,epochs_ran,early_stopped,n_val
STN-CNN,42,2.0,0.6666666666666666,0.6666666666666666,0.6548488548488548,0.18629240244627002,0.4407777608529123,0.6648281812667847,2520,360,0.9708994708994709,8,False,378
STN-CNN,42,3.0,0.6111111111111112,0.6111111111111112,0.6015873015873016,0.16174595223532784,0.4964625065532682,0.7312728762626648,2520,360,1.0,8,False,378
STN-CNN,42,4.0,0.5555555555555556,0.5555555555555555,0.5405631405631406,0.27512245873610175,0.6342292573716877,0.7585705518722534,2520,360,0.9603174603174603,8,False,378
STN-CNN,42,6.0,0.5833333333333334,0.5833333333333333,0.5744255744255745,0.14452615131934485,0.5238941325992956,0.6871911883354187,2520,360,0.9708994708994709,8,False,378
STN-CNN,42,8.0,0.5,0.5,0.4857142857142856,0.19189678546455166,0.5017878781436989,0.6653532385826111,2520,360,0.9788359788359788,8,False,378
STN-CNN,42,12.0,0.6944444444444444,0.6944444444444445,0.6697089947089947,0.18788725137710574,0.44819621405380855,0.7419509291648865,2520,360,0.9629629629629629,8,False,378
STN-CNN,42,16.0,0.6111111111111112,0.6111111111111112,0.5787037037037037,0.15758926504188112,0.5363454720745711,0.7246077060699463,2520,360,0.9656084656084656,8,False,378
STN-CNN,42,24.0,0.5555555555555556,0.5555555555555556,0.5491452991452992,0.10962116718292236,0.5775345558887688,0.6030478477478027,2520,360,0.9735449735449735,8,False,378
