ablation,n_removed_cell_types,accuracy,full_accuracy,drop_accuracy,drop_ci_low,drop_ci_high
remove all T4,4,0.9201388888888888,0.9236111111111112,0.0034722222222222,0.0017274305555555,0.0055642361111111
remove all T5,4,0.9166666666666666,0.9236111111111112,0.0069444444444444,0.0041666666666666,0.0100694444444444
remove T4+T5,8,0.9166666666666666,0.9236111111111112,0.0069444444444444,0.0003385416666666,0.0138888888888888
remove top-5 ablation-sensitive types,5,0.9166666666666666,0.9236111111111112,0.0069444444444444,0.0041666666666666,0.0100694444444444
remove top-10 ablation-sensitive types,10,0.9166666666666666,0.9236111111111112,0.0069444444444444,0.0003385416666666,0.0138888888888888
remove random matched top-5 count,5,0.9201388888888888,0.9236111111111112,0.0034722222222222,0.0017274305555555,0.0055642361111111
remove random matched top-10 count,10,0.9236111111111112,0.9236111111111112,0.0,0.0,0.0
