model,mean_offdiag_accuracy,std,ci_low,ci_high,best_seed,worst_seed
cnn3d,0.3784722222222222,0.0,0.3784722222222222,0.3784722222222222,42,42
resnet_like_temporal,0.1944444444444444,0.0,0.1944444444444444,0.1944444444444444,42,42
temporal_cnn,0.1770833333333333,0.0,0.1770833333333333,0.1770833333333333,42,42
conv_rnn,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,42,42
