variant,noise_fraction_of_feature_std,mean_accuracy,min_accuracy,max_accuracy,n
response_noise_0,0.0,0.9236111111111112,0.9236111111111112,0.9236111111111112,3
response_noise_0.01,0.01,0.9486111111111111,0.9322916666666666,0.9572916666666667,3
response_noise_0.05,0.05,0.9384259259259259,0.9357638888888888,0.9402777777777778,3
